Row Labels,Anchovy,Banana,Beef,Cassava,Cassava Chips(Kokonte),Coconut Oil,Cocoyam,Cowpea,Dried pepper,Eggs commercial,Fresh pepper,Garden Egg,Gari,Ginger,Groundnut (Red),Groundnut Oil,Live bird,Maize ,Mango,Millet,Okro,Onion,Oranges,Paddy Rice,Palm  Fruit,Palm Oil,Pineapple,Plantain (Apem),Plantain (Apentu),Pork,Rice - Imported (non-perfumed),Rice - Imported (perfumed),Rice Local  (local perfumed),Rice Local (non-perfumed),Salted Dried Fish(Koobi),Smoked Herrings,Sorghum,Soya Bean,Tomatoes,Yam (White)
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,220,#DIV/0!,10,#DIV/0!,,,,400,,,100,,110,,#DIV/0!,#DIV/0!,100,#DIV/0!,50,,12,10,,160,200,150,120,,#DIV/0!,100,,120,250
CAPECOAST,,,,40,,,320,350,150,13,90,,,,420,,,150,,200,,380,10,130,22,90,,18,13,,200,280,150,125,,40,220,,400,300
EJURA,,,,25,,,150,500,170,15,70,,,,370,,,69,,120,,480,30,150,30,65,,12,10,,220,230,110,100,,#DIV/0!,120,,150,220
HO,,,,90,,,91,305,148,9,66,,,,410,,,160,,149,,140,24,#DIV/0!,40,80,,11,14,,110,150,185,120,,14,153,,400,450
KOFORIDUA,,,,35,,,150,390,400,12,200,,,,390,,,170,,180,,350,15,#DIV/0!,60,150,,12,8,,220,270,#DIV/0!,#DIV/0!,,45,140,,500,350
KUMASI,,,,24,,,90,200,170,13,104,,,,340,,,125,,165,,450,6.5,92,60,85,,24,8,,200,280,135,130,,50,150,,100,190
MANKESSIM,,,,36,,,185,330,120,13.5,70,,,,420,,,190,,185,,320,13,100,48,80,,14.5,8.5,,185,270,160,135,,28,210,,350,320
OBUASI,,,,25,,,90,320,370,11,160,,,,290,,,110,,170,,350,10,100,15,90,,11,5,,160,210,90,90,,50,220,,170,350
SUNYANI,,,,28,,,130,340,150,10,60,,,,300,,,72,,160,,550,7,#DIV/0!,40,108,,7,5,,255,220,135,135,,100,160,,200,180
TAKORADI,,,,32,,,200,300,145,13,50,,,,360,,,170,,185,,320,12.5,100,34,78,,15,7.5,,186,265,155,132.5,,29,200,,140,285
TAMALE,,,,60,,,#DIV/0!,320,112,10,50,,,,320,,,100,,180,,400,10,90,#DIV/0!,57,,20,15,,240,270,200,140,,#DIV/0!,160,,150,90
TECHIMAN,,,,30,,,80,160,170,8,50,,,,250,,,50,,95,,73,20,60,32,62,,8,7,,145,185,85,85,,35,100,,100,260
TEMA,,,,70,,,#DIV/0!,266,180,15,#DIV/0!,,,,440,,,133,,180,,420,15,#DIV/0!,60,85,,15,10,,230,280,#DIV/0!,#DIV/0!,,60,#DIV/0!,,300,#DIV/0!
WA,,,,70,,,#DIV/0!,233.6,320,14,166.7,,,,307.5,,,89.3,,143.1,,360,24,109.6,#DIV/0!,141.1,,25,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,116.8,,135,220
4TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,60,,,185,280,225,13,83,,,,423,,,127,,180,,205,15,#DIV/0!,60,71,,15,12,,200,230,207,163,,75,207,,443,348
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,220,#DIV/0!,10,#DIV/0!,,,,400,,,100,,110,,#DIV/0!,#DIV/0!,100,#DIV/0!,50,,12,10,,160,200,150,120,,#DIV/0!,100,,120,250
CAPECOAST,,,,40,,,320,350,150,13,90,,,,420,,,150,,200,,380,10,130,22,90,,18,13,,200,280,150,125,,40,220,,400,300
EJURA,,,,25,,,150,500,170,15,70,,,,370,,,69,,120,,480,30,150,30,65,,12,10,,220,230,110,100,,#DIV/0!,120,,150,220
HO,,,,90,,,91,305,148,9,66,,,,410,,,160,,149,,140,24,#DIV/0!,40,80,,11,14,,110,150,185,120,,14,153,,400,450
KOFORIDUA,,,,30,,,140,340,350,12,100,,,,380,,,130,,180,,400,18,#DIV/0!,50,120,,20,12,,270,220,#DIV/0!,#DIV/0!,,60,140,,100,#DIV/0!
KUMASI,,,,24,,,90,200,170,13,104,,,,340,,,125,,165,,450,6.5,92,60,85,,24,8,,200,280,135,130,,50,150,,100,190
MANKESSIM,,,,36,,,185,330,120,13.5,70,,,,420,,,190,,185,,320,13,100,48,80,,14.5,8.5,,185,270,160,135,,28,210,,350,320
OBUASI,,,,25,,,90,320,370,11,160,,,,290,,,110,,170,,350,10,100,15,90,,11,5,,160,210,90,90,,50,220,,170,350
SUNYANI,,,,28,,,130,340,150,10,60,,,,300,,,72,,160,,550,7,#DIV/0!,40,108,,7,5,,255,220,135,135,,100,160,,200,180
TAKORADI,,,,68,,,170,350,650,15,150,,,,380,,,180,,200,,350,12,140,60,85,,18,15,,240,275,110,100,,40,180,,500,380
TAMALE,,,,60,,,#DIV/0!,320,112,10,50,,,,320,,,100,,180,,400,10,90,#DIV/0!,57,,20,15,,240,270,200,140,,#DIV/0!,160,,150,90
TECHIMAN,,,,30,,,80,160,170,8,50,,,,250,,,50,,95,,73,20,60,32,62,,8,7,,145,185,85,85,,35,100,,100,260
TEMA,,,,70,,,#DIV/0!,266,180,15,#DIV/0!,,,,440,,,133,,180,,350,15,#DIV/0!,60,85,,15,10,,230,280,#DIV/0!,#DIV/0!,,60,#DIV/0!,,300,#DIV/0!
WA,,,,70,,,#DIV/0!,233.6,320,14,166.7,,,,307.5,,,89.3,,143.1,,360,24,109.6,#DIV/0!,141.1,,#DIV/0!,#DIV/0!,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,116.8,,165,260
5TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,60,,,185,280,225,13,83,,,,423,,,127,,180,,205,15,#DIV/0!,60,71,,15,12,,200,230,207,163,,75,207,,443,348
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,220,#DIV/0!,10,#DIV/0!,,,,400,,,100,,110,,#DIV/0!,#DIV/0!,100,#DIV/0!,50,,12,10,,160,200,150,120,,#DIV/0!,100,,120,250
CAPECOAST,,,,40,,,320,350,150,13,90,,,,420,,,150,,200,,380,10,130,22,90,,18,13,,200,280,150,125,,40,220,,400,300
EJURA,,,,25,,,150,500,170,15,70,,,,370,,,69,,120,,480,30,150,30,65,,12,10,,220,230,110,100,,#DIV/0!,120,,150,220
HO,,,,90,,,91,305,148,9,66,,,,410,,,160,,149,,140,24,#DIV/0!,40,80,,11,14,,110,150,185,120,,14,153,,400,450
KOFORIDUA,,,,30,,,140,340,350,12,100,,,,380,,,130,,180,,400,18,#DIV/0!,50,120,,20,12,,270,220,#DIV/0!,#DIV/0!,,60,140,,100,#DIV/0!
KUMASI,,,,24,,,90,200,170,13,104,,,,340,,,125,,165,,450,6.5,92,60,85,,24,8,,200,280,135,130,,50,150,,100,190
MANKESSIM,,,,36,,,185,330,120,13.5,70,,,,420,,,190,,185,,320,13,100,48,80,,14.5,8.5,,185,270,160,135,,28,210,,350,320
OBUASI,,,,25,,,90,320,370,11,160,,,,290,,,110,,170,,350,10,100,15,90,,11,5,,160,210,90,90,,50,220,,170,350
SUNYANI,,,,28,,,130,340,150,10,60,,,,300,,,72,,160,,550,7,#DIV/0!,40,108,,7,5,,255,220,135,135,,100,160,,200,180
TAKORADI,,,,68,,,170,350,650,15,150,,,,380,,,180,,200,,350,12,140,60,85,,18,15,,240,275,110,100,,40,180,,500,380
TAMALE,,,,60,,,#DIV/0!,320,112,10,50,,,,320,,,100,,180,,400,10,90,#DIV/0!,57,,20,15,,240,270,200,140,,#DIV/0!,160,,150,90
TECHIMAN,,,,30,,,80,160,170,8,50,,,,250,,,50,,95,,73,20,60,32,62,,8,7,,145,185,85,85,,35,100,,100,260
TEMA,,,,70,,,#DIV/0!,266,180,15,#DIV/0!,,,,440,,,133,,180,,350,15,#DIV/0!,60,85,,15,10,,230,280,#DIV/0!,#DIV/0!,,60,#DIV/0!,,300,#DIV/0!
WA,,,12,0.7,,,#DIV/0!,2.1,20,0.6,8.3,,,,3.75,,25,0.9,,1.5,,2.85,0.25,1.3,2.4,8,,#DIV/0!,1.7,10,3.85,#DIV/0!,#DIV/0!,2.85,,#DIV/0!,1.1,,2.5,1.1
FEBRUARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,60,,,185,280,225,13,83,,,,423,,,127,,180,,205,15,#DIV/0!,60,71,,15,12,,200,230,207,163,,75,207,,443,348
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,220,#DIV/0!,10,#DIV/0!,,,,400,,,100,,110,,#DIV/0!,,100,#DIV/0!,50,,12,10,,160,200,150,120,,#DIV/0!,100,,120,250
CAPECOAST,,,,41,,,320,350,150,13,100,,,,420,,,150,,200,,320,10,120,22,90,,20,14.5,,200,280,150,125,,45,220,,400,300
EJURA,,,,18,,,120,280,400,15,120,,,,350,,,100,,120,,350,20,100,,55,,8,7,,220,280,150,110,,200,120,,150,180
HO,,,,90,,,91,305,148,9,66,,,,410,,,160,,149,,140,24,#DIV/0!,40,80,,11,14,,110,150,185,120,,14,153,,400,450
KOFORIDUA,,,,35,,,120,320,400,14,300,,,,390,,,150,,180,,200,20,#DIV/0!,40,120,,14,8,,250,270,#DIV/0!,#DIV/0!,,45,200,,700,190
KUMASI,,,,30,,,95,200,180,13,148,,,,350,,,125,,170,,320,6.5,90,60,82,,24,6.5,,200,280,135,130,,60,150,,180,185
MANKESSIM,,,,35,,,200,330,150,13.5,100,,,,425,,,185,,185,,260,13,100,34,78,,15,9,,185,270,160,140,,30,200,,550,360
OBUASI,,,,25,,,90,320,370,11,160,,,,290,,,110,,170,,350,10,100,15,90,,11,5,,160,210,90,90,,50,220,,170,350
SUNYANI,,,,28,,,130,340,150,10,60,,,,300,,,72,,160,,550,7,,40,108,,7,5,,255,220,135,135,,100,160,,200,180
TAKORADI,,,,68,,,170,350,650,15,150,,,,380,,,180,,200,,350,12,140,60,85,,18,15,,240,275,110,100,,40,180,,500,380
TAMALE,,,,60,,,#DIV/0!,320,112,10,50,,,,320,,,100,,180,,400,10,90,#DIV/0!,57,,20,15,,240,270,200,140,,#DIV/0!,160,,150,90
TECHIMAN,,,,36,,,120,200,250,12,170,,,,320,,,77,,140,,107,20,75,58,83,,10,8,,230,270,120,100,,40,135,,320,300
TEMA,,,,80,,,120,266,220,15,#DIV/0!,,,,440,,,133,,170,,260,15,#DIV/0!,70,85,,10,8,,230,280,#DIV/0!,#DIV/0!,,60,#DIV/0!,,550,#DIV/0!
WA,,,,70,,,#DIV/0!,233,372.8,14,200,,,,307.5,,,89.3,,125.2,,280,24,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,116.8,,165,320
2ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,65,,,230,333,270,13,98,,,,425,,,130,,180,,250,16,,60,72,,13,10,,202,234,210,154,,75,210,,458,365
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,260,#DIV/0!,10,#DIV/0!,,,,320,,,100,,110,,#DIV/0!,20,100,#DIV/0!,50,,12,10,,160,270,160,130,,#DIV/0!,100,,180,350
CAPECOAST,,,,40,,,300,350,150,13,100,,,,420,,,150,,200,,300,10,130,20,90,,19,16,,200,280,150,125,,40,220,,400,300
EJURA,,,,18,,,120,120,300,15,120,,,,280,,,90,,110,,350,20,90,#DIV/0!,50,,8,8,,220,280,150,90,,250,120,,200,180
HO,,,,90,,,91,305,148,9,66,,,,410,,,160,,149,,140,24,#DIV/0!,40,80,,11,14,,110,150,185,120,,14,153,,400,450
KOFORIDUA,,,,35,,,120,320,400,14,300,,,,390,,,150,,180,,200,20,#DIV/0!,40,120,,14,8,,250,270,#DIV/0!,#DIV/0!,,45,200,,700,190
KUMASI,,,,28,,,85,200,175,13,140,,,,360,,,125,,170,,320,6,92,64,84,,27,7,,200,280,135,130,,62,160,,180,180
MANKESSIM,,,,36,,,185,330,120,13.5,70,,,,420,,,190,,185,,320,13,100,48,80,,14.5,8.5,,185,270,160,135,,28,210,,350,320
OBUASI,,,,25,,,90,320,370,11,160,,,,290,,,110,,170,,350,10,100,15,90,,11,5,,160,210,90,90,,50,220,,170,350
SUNYANI,,,,28,,,130,340,150,10,60,,,,300,,,72,,160,,550,7,#DIV/0!,40,108,,7,5,,255,220,135,135,,100,160,,200,180
TAKORADI,,,,70,,,180,350,650,15,200,,,,420,,,180,,200,,350,12,140,60,85,,19,17,,240,280,110,100,,40,180,,700,380
TAMALE,,,,60,,,#DIV/0!,320,112,10,50,,,,320,,,100,,180,,400,10,90,#DIV/0!,57,,20,15,,240,270,200,140,,#DIV/0!,160,,150,90
TECHIMAN,,,,36,,,120,200,250,12,170,,,,320,,,77,,140,,107,7,75,58,83,,10,8,,230,270,120,100,,40,135,,320,300
TEMA,,,,70,,,#DIV/0!,266,180,15,#DIV/0!,,,,440,,,133,,180,,350,15,#DIV/0!,60,85,,15,10,,230,280,#DIV/0!,#DIV/0!,,60,#DIV/0!,,300,#DIV/0!
WA,,,,70,,,#DIV/0!,253,372.8,14,200,,,,307.5,,,89.3,,143.1,,250,24,109.6,#DIV/0!,141.1,,#DIV/0!,30,,160,#DIV/0!,#DIV/0!,142.85,,#DIV/0!,116.8,,135,320
3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,,,,60,,,207,353,295,14,165,,,,418,,,130,,183,,210,15,#DIV/0!,50,72,,12,10,,200,230,210,166,,75,205,,390,335
BOLGATANGA,,,,#DIV/0!,,,#DIV/0!,260,#DIV/0!,10,#DIV/0!,,,,320,,,100,,110,,#DIV/0!,20,100,#DIV/0!,50,,12,10,,160,270,160,130,,#DIV/0!,100,,180,350
CAPECOAST,,,,40,,,300,350,150,13,100,,,,420,,,150,,200,,300,10,130,20,90,,19,16,,200,280,150,125,,40,220,,400,300
